sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
female,GR,202122,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,256,208,48,1,100,99807,2,256.5,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,2,2,NA,100
female,JU,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,87,75,12,0,0,37235,0,233.65,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,NA,NA
female,LU,202122,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,373,273,100,1,100,208765,0.96,178.67,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-3,-1.44,-60,61.5
female,NE,202122,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,502,403,99,1,100,89710,1.11,559.58,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-2,-2.23,-66.7,50
female,NW,202122,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,64,42,22,1,100,21222,4.71,301.57,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,0,0
female,OW,202122,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,64,43,21,1,100,18840,5.31,339.7,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,0,0
female,SG,202122,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,658,503,155,0.444,44.4,256396,1.56,256.63,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,0,11.099999999999994
female,SH,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,87,67,20,0,0,41945,0,207.41,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,NA,NA
female,SO,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,467,338,129,0,0,138836,0,336.37,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-3,-2.16,-100,-60
female,SZ,202122,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,222,176,46,0.556,55.60000000000001,79048,6.33,280.84,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,3,3.8,150,30.60000000000001
female,TG,202122,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,376,269,107,0.6,60,140382,2.14,267.84,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-5,-3.56,-62.5,-12.700000000000003
female,TI,202122,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1299,1102,197,0.5,50,180156,0.56,721.04,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,0,30
female,UR,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,63,27,36,NA,NA,18051,0,349.01,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-1,-5.54,-100,NA
female,VD,202122,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1368,1054,314,0.375,37.5,414545,0.72,330,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-4,-0.97,-57.1,-50
female,VS,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,610,508,102,0,0,175548,0,347.48,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-1,-0.57,-100,-25
female,ZG,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,83,37,46,0,0,63567,0,130.57,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-1,-1.57,-100,-50
female,ZH,202122,13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1906,1288,618,0.52,52,779124,1.67,244.63,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,5,0.64,62.5,15.600000000000001
unknown,AG,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,NA,NA,0
unknown,AI,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,NA,NA,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,NA,NA,NA
unknown,AR,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,NA,NA,NA
unknown,BE,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,NA,NA,0
unknown,BL,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,NA,NA,0
