geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CH,202131,65618,7185,58433,6572062,1,100,10.9,3.5,9.6,8670300,756.81,75799.71,-3357,-38.72,0,-4.9,COVID19Test,2022-05-03_06-06-15,isoweek,2021-31,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202132,63611,2692,60919,2313662,1,100,4.2,1.9000000000000004,5.2,8670300,733.67,26684.91,-449,-5.17,0,-0.7,COVID19Test,2022-05-03_06-06-15,isoweek,2021-32,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202132,75640,13353,62287,6647702,1,100,17.7,6.799999999999999,9.7,8670300,872.4,76672.11,10022,115.59,0,15.3,COVID19Test,2022-05-03_06-06-15,isoweek,2021-32,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202133,66874,3088,63786,2380536,1,100,4.6,0.39999999999999947,5.1,8670300,771.3,27456.21,3263,37.63,0,5.1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-33,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202133,95265,17540,77725,6742967,1,100,18.4,0.6999999999999993,9.8,8670300,1098.75,77770.86,19625,226.35,0,25.9,COVID19Test,2022-05-03_06-06-15,isoweek,2021-33,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202134,75226,2906,72320,2455762,1,100,3.9,-0.6999999999999997,5.1,8670300,867.63,28323.84,8352,96.33,0,12.5,COVID19Test,2022-05-03_06-06-15,isoweek,2021-34,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202134,115358,17755,97603,6858325,1,100,15.4,-2.9999999999999982,9.9,8670300,1330.5,79101.36,20093,231.75,0,21.1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-34,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202135,90535,2735,87800,2546297,1,100,3,-0.8999999999999999,5,8670300,1044.2,29368.04,15309,176.57,0,20.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-35,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202135,133707,18514,115193,6992032,1,100,13.8,-1.5999999999999996,10,8670300,1542.13,80643.48,18349,211.63,0,15.9,COVID19Test,2022-05-03_06-06-15,isoweek,2021-35,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202136,90545,2484,88061,2636842,1,100,2.7,-0.2999999999999998,4.9,8670300,1044.31,30412.35,10,0.11,0,0,COVID19Test,2022-05-03_06-06-15,isoweek,2021-36,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202136,145533,18604,126929,7137565,1,100,12.8,-1,10.1,8670300,1678.52,82322.01,11826,136.39,0,8.8,COVID19Test,2022-05-03_06-06-15,isoweek,2021-36,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202137,126995,1707,125288,2763837,1,100,1.3,-1.4000000000000001,4.8,8670300,1464.71,31877.06,36450,420.4,0,40.3,COVID19Test,2022-05-03_06-06-15,isoweek,2021-37,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202137,138718,13206,125512,7276283,1,100,9.5,-3.3000000000000007,10.1,8670300,1599.92,83921.93,-6815,-78.6,0,-4.7,COVID19Test,2022-05-03_06-06-15,isoweek,2021-37,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202138,131909,1262,130647,2895746,1,100,1,-0.30000000000000004,4.6,8670300,1521.39,33398.45,4914,56.68,0,3.9,COVID19Test,2022-05-03_06-06-15,isoweek,2021-38,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202138,124730,9459,115271,7401013,1,100,7.6,-1.9000000000000004,10,8670300,1438.59,85360.52,-13988,-161.33,0,-10.1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-38,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202139,130144,1090,129054,3025890,1,100,0.8,-0.19999999999999996,4.4,8670300,1501.03,34899.48,-1765,-20.36,0,-1.3,COVID19Test,2022-05-03_06-06-15,isoweek,2021-39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202139,121199,7926,113273,7522212,1,100,6.5,-1.0999999999999996,10,8670300,1397.86,86758.38,-3531,-40.73,0,-2.8,COVID19Test,2022-05-03_06-06-15,isoweek,2021-39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202140,124098,1060,123038,3149988,1,100,0.9,0.09999999999999998,4.3,8670300,1431.3,36330.78,-6046,-69.73,0,-4.6,COVID19Test,2022-05-03_06-06-15,isoweek,2021-40,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202140,106025,6525,99500,7628237,1,100,6.2,-0.2999999999999998,9.9,8670300,1222.85,87981.23,-15174,-175.01,0,-12.5,COVID19Test,2022-05-03_06-06-15,isoweek,2021-40,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202141,64559,972,63587,3214547,1,100,1.5,0.6,4.2,8670300,744.6,37075.38,-59539,-686.7,0,-48,COVID19Test,2022-05-03_06-06-15,isoweek,2021-41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202141,101145,6278,94867,7729382,1,100,6.2,0,9.9,8670300,1166.57,89147.8,-4880,-56.28,0,-4.6,COVID19Test,2022-05-03_06-06-15,isoweek,2021-41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202142,60786,1330,59456,3275333,1,100,2.2,0.7000000000000002,4.2,8670300,701.08,37776.47,-3773,-43.52,0,-5.8,COVID19Test,2022-05-03_06-06-15,isoweek,2021-42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202142,106067,8771,97296,7835449,1,100,8.3,2.1000000000000005,9.8,8670300,1223.34,90371.14,4922,56.77,0,4.9,COVID19Test,2022-05-03_06-06-15,isoweek,2021-42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202143,62450,1541,60909,3337783,1,100,2.5,0.2999999999999998,4.2,8670300,720.27,38496.74,1664,19.19,0,2.7,COVID19Test,2022-05-03_06-06-15,isoweek,2021-43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202143,114108,11490,102618,7949557,1,100,10.1,1.799999999999999,9.8,8670300,1316.08,91687.22,8041,92.74,0,7.6,COVID19Test,2022-05-03_06-06-15,isoweek,2021-43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202144,60365,2029,58336,3398148,1,100,3.4,0.8999999999999999,4.2,8670300,696.23,39192.97,-2085,-24.04,0,-3.3,COVID19Test,2022-05-03_06-06-15,isoweek,2021-44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202144,139220,17077,122143,8088777,1,100,12.3,2.200000000000001,9.9,8670300,1605.71,93292.93,25112,289.63,0,22,COVID19Test,2022-05-03_06-06-15,isoweek,2021-44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202145,60999,2652,58347,3459147,1,100,4.3,0.8999999999999999,4.2,8670300,703.54,39896.51,634,7.31,0,1.1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202145,177994,24969,153025,8266771,1,100,14,1.6999999999999993,10,8670300,2052.92,95345.85,38774,447.21,0,27.9,COVID19Test,2022-05-03_06-06-15,isoweek,2021-45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202146,66729,4137,62592,3525876,1,100,6.2,1.9000000000000004,4.2,8670300,769.63,40666.14,5730,66.09,0,9.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-46,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202146,219628,37254,182374,8486399,1,100,17,3,10.2,8670300,2533.11,97878.95,41634,480.19,0,23.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-46,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202147,75552,5585,69967,3601428,1,100,7.4,1.2000000000000002,4.3,8670300,871.39,41537.52,8823,101.76,0,13.2,COVID19Test,2022-05-03_06-06-15,isoweek,2021-47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202147,276835,51368,225467,8763234,1,100,18.6,1.6000000000000014,10.4,8670300,3192.91,101071.87,57207,659.8,0,26,COVID19Test,2022-05-03_06-06-15,isoweek,2021-47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202148,78898,6580,72318,3680326,1,100,8.3,0.9000000000000004,4.4,8670300,909.98,42447.5,3346,38.59,0,4.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202148,333167,63882,269285,9096401,1,100,19.2,0.5999999999999979,10.7,8670300,3842.62,104914.49,56332,649.71,0,20.3,COVID19Test,2022-05-03_06-06-15,isoweek,2021-48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202149,85861,7120,78741,3766187,1,100,8.3,0,4.4,8670300,990.29,43437.79,6963,80.31,0,8.8,COVID19Test,2022-05-03_06-06-15,isoweek,2021-49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202149,336499,66130,270369,9432900,1,100,19.7,0.5,11.1,8670300,3881.05,108795.54,3332,38.43,0,1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202150,93919,7029,86890,3860106,1,100,7.5,-0.8000000000000007,4.5,8670300,1083.23,44521.02,8058,92.94,0,9.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202150,332479,62061,270418,9765379,1,100,18.7,-1,11.3,8670300,3834.69,112630.23,-4020,-46.36,0,-1.2,COVID19Test,2022-05-03_06-06-15,isoweek,2021-50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
CH,202151,94850,10319,84531,3954956,1,100,10.9,3.4000000000000004,4.7,8670300,1093.96,45614.98,931,10.73,0,1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-51,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH,202151,309982,66127,243855,10075361,1,100,21.3,2.6000000000000014,11.6,8670300,3575.22,116205.45,-22497,-259.47,0,-6.8,COVID19Test,2022-05-03_06-06-15,isoweek,2021-51,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
