date,geoRegion,ageRange,sex,cases,hosps,deaths
202018,JU,20 - 29,male,0,0,0
202018,JU,20 - 29,female,0,0,0
202018,JU,20 - 29,unknown,0,0,0
202018,JU,30 - 39,male,0,0,0
202018,JU,30 - 39,female,1,0,0
202018,JU,30 - 39,unknown,0,0,0
202018,JU,40 - 49,male,0,0,0
202018,JU,40 - 49,female,0,0,0
202018,JU,40 - 49,unknown,0,0,0
202018,JU,50 - 59,male,0,0,0
202018,JU,50 - 59,female,1,0,0
202018,JU,50 - 59,unknown,0,0,0
202018,JU,60 - 69,male,0,0,0
202018,JU,60 - 69,female,0,0,0
202018,JU,60 - 69,unknown,0,0,0
202018,JU,70 - 79,male,0,0,1
202018,JU,70 - 79,female,0,0,0
202018,JU,70 - 79,unknown,0,0,0
202018,JU,80+,male,0,0,0
202018,JU,80+,female,0,0,0
202018,JU,80+,unknown,0,0,0
202018,JU,unknown,male,0,0,0
202018,JU,unknown,female,0,0,0
202018,JU,unknown,unknown,0,0,0
202018,LU,0 - 9,male,0,0,0
202018,LU,0 - 9,female,0,0,0
202018,LU,0 - 9,unknown,0,0,0
202018,LU,10 - 19,male,1,0,0
202018,LU,10 - 19,female,0,0,0
202018,LU,10 - 19,unknown,0,0,0
202018,LU,20 - 29,male,2,0,0
202018,LU,20 - 29,female,2,0,0
202018,LU,20 - 29,unknown,0,0,0
202018,LU,30 - 39,male,3,0,0
202018,LU,30 - 39,female,2,0,0
202018,LU,30 - 39,unknown,0,0,0
202018,LU,40 - 49,male,1,0,0
202018,LU,40 - 49,female,4,0,0
202018,LU,40 - 49,unknown,0,0,0
202018,LU,50 - 59,male,4,1,0
202018,LU,50 - 59,female,1,0,0
202018,LU,50 - 59,unknown,0,0,0
202018,LU,60 - 69,male,0,0,0
202018,LU,60 - 69,female,1,0,0
202018,LU,60 - 69,unknown,0,0,0
202018,LU,70 - 79,male,0,0,0
202018,LU,70 - 79,female,1,1,1
202018,LU,70 - 79,unknown,0,0,0
202018,LU,80+,male,1,0,1
202018,LU,80+,female,1,1,0
202018,LU,80+,unknown,0,0,0
202018,LU,unknown,male,0,0,0
202018,LU,unknown,female,0,0,0
202018,LU,unknown,unknown,0,0,0
202018,NE,0 - 9,male,1,1,0
202018,NE,0 - 9,female,0,0,0
202018,NE,0 - 9,unknown,0,0,0
202018,NE,10 - 19,male,1,0,0
202018,NE,10 - 19,female,0,0,0
202018,NE,10 - 19,unknown,0,0,0
202018,NE,20 - 29,male,3,0,0
202018,NE,20 - 29,female,1,0,0
202018,NE,20 - 29,unknown,0,0,0
202018,NE,30 - 39,male,0,0,0
202018,NE,30 - 39,female,0,0,0
202018,NE,30 - 39,unknown,0,0,0
202018,NE,40 - 49,male,0,0,0
202018,NE,40 - 49,female,2,0,0
202018,NE,40 - 49,unknown,0,0,0
202018,NE,50 - 59,male,1,0,0
202018,NE,50 - 59,female,3,0,0
202018,NE,50 - 59,unknown,0,0,0
202018,NE,60 - 69,male,0,0,1
202018,NE,60 - 69,female,0,0,0
